en	meaning_en	fr_translation	fr_gender	de_translation	de_gender	es_translation	es_gender	it_translation	it_gender	pt_translation	pt_gender	ru_translation	ru_gender	ar_translation	ar_gender	hi_translation	hi_gender
farmhouse	Main house on farm.	ferme	f	Bauernhaus	n	casa de campo	f	casa colonica	f	casa da fazenda	f	фермерский дом	m	بيت المزرعة	m	खेत का घर	m
farming	Practice of agriculture.	agriculture	f	Landwirtschaft	f	agricultura	f	agricoltura	f	agricultura	f	сельское хозяйство	n	زراعة	f	कृषि	f
farmland	Land used for farming.	terre agricole	f	Ackerland	n	tierra de cultivo	f	terreno agricolo	m	terra agrícola	f	пашня	f	أرض زراعية	f	खेती जमीन	f
fascination	State of being fascinated.	fascination	f	Faszination	f	fascinación	f	fascinazione	f	fascinação	f	очарование	n	انجذاب	m	मोह	m
fascism	Authoritarian political system.	fascisme	m	Faschismus	m	fascismo	m	fascismo	m	fascismo	m	фашизм	m	فاشية	f	फाशीवाद	m
fashion	Style; clothing trend; manner; way.	mode	f	Mode	f	moda	f	moda	f	moda	f	мода	f	موضة	f	फैशन	m
fat	Body tissue; grease; overweight condition; lipid.	graisse	f	Fett	n	grasa	f	grasso	m	gordura	f	жир	m	دهون	f	चर्बी	f
fatality	Death from accident or disease.	décès	m	Todesfall	m	fatalidad	f	fatalità	f	fatalidade	f	смертельный случай	m	وفاة	f	मृत्यु	m
fate	Development of events beyond control.	destin	m	Schicksal	n	destino	m	destino	m	destino	m	судьба	f	قدر	m	भाग्य	m
father	Male parent; dad; patriarch; creator.	père	m	Vater	m	padre	m	padre	m	pai	m	отец	m	أب	m	पिता	m
fatigue	Extreme tiredness.	fatigue	f	Müdigkeit	f	fatiga	f	stanchezza	f	fadiga	f	усталость	f	تعب	m	थकान	m
fault	Defect; mistake; blame; geological crack.	faute	f	Fehler	m	falta	f	colpa	f	falha	f	ошибка	f	خطأ	m	गलती	f
favor	Kindness; preference; support; good deed.	faveur	f	Gefallen	m	favor	m	favore	m	favor	m	услуга	f	معروف	m	कृपा	f
favorite	Preferred choice; beloved thing; top pick.	favori	m	Favorit	m	favorito	m	favorito	m	favorito	m	фаворит	m	مفضل	m	पसंदीदा	f
fear	Fright; anxiety; dread; phobia.	peur	f	Angst	f	miedo	m	paura	f	medo	m	страх	m	خوف	m	डर	m
feast	Large elaborate meal.	festin	m	Fest	n	banquete	m	banchetto	m	banquete	m	пир	m	مأدبة	f	भोज	m
feather	Structure covering bird.	plume	f	Feder	f	pluma	f	piuma	f	pena	f	перо	n	ريشة	f	पंख	m
feature	Characteristic; aspect; movie; facial part.	caractéristique	f	Merkmal	n	característica	f	caratteristica	f	característica	f	особенность	f	ميزة	f	विशेषता	f
february	Second month of year.	février	m	Februar	m	febrero	m	febbraio	m	fevereiro	m	февраль	m	فبراير	m	फरवरी	f
federation	Group of states united.	fédération	f	Föderation	f	federación	f	federazione	f	federação	f	федерация	f	فيدرالية	f	संघ	m
fee	Charge; payment; cost; price.	frais	m	Gebühr	f	tarifa	f	tassa	f	taxa	f	плата	f	رسوم	f	शुल्क	m
feed	Food for animals.	fourrage	m	Futter	n	pienso	m	mangime	m	forrage	m	корм	m	علف	m	चारा	m
feedback	Response; reaction; information return; input.	retour	m	Rückmeldung	f	retroalimentación	f	feedback	m	feedback	m	обратная связь	f	تغذية راجعة	f	प्रतिक्रिया	f
feel	Physical sensation.	sensation	f	Gefühl	n	sensación	f	sensazione	f	sensação	f	ощущение	n	شعور	m	अनुभूति	f
feeling	Emotion; sensation; sentiment; touch.	sentiment	m	Gefühl	n	sentimiento	m	sentimento	m	sentimento	m	чувство	n	شعور	m	भावना	f
fellow	Person; man; companion; peer.	compagnon	m	Kumpel	m	compañero	m	compagno	m	companheiro	m	товарищ	m	زميل	m	साथी	m
fellowship	Friendly association.	camaraderie	f	Gemeinschaft	f	compañerismo	m	compagnia	f	companheirismo	m	товарищество	n	زمالة	f	मित्रता	f
felony	A serious crime; a major criminal offense punishable by law.	crime grave	m	Verbrechen	n	delito mayor	m	reato grave	m	crime	m	тяжкое преступление	n	جناية كبيرة	f	गंभीर अपराध	m
fence	Barrier; boundary; enclosure; stolen goods dealer.	clôture	f	Zaun	m	valla	f	recinzione	f	cerca	f	забор	m	سياج	m	बाड़	m
ferment	Chemical breakdown by bacteria.	ferment	m	Gärung	f	fermentación	f	fermentazione	f	fermentâo	f	брожение	n	تخمير	m	किण्वन	m
fern	Flowerless plant with fronds.	fougère	f	Farn	m	helecho	m	felce	f	feto	m	папоротник	m	سرخس	m	फर्न	m
fertilizer	Substance for plant growth.	engrais	m	Dünger	m	fertilizante	m	fertilizzante	m	fertilizante	m	удобрение	n	سماد	m	खाद	m
festival	Celebration; event; party; cultural gathering.	festival	m	Festival	n	festival	m	festival	m	festival	m	фестиваль	m	مهرجان	m	त्योहार	m
festivity	Celebration activities.	fêtivité	f	Festlichkeit	f	festividad	f	festività	f	festividade	f	торжество	n	احتفال	m	उत्सव	m
fever	High temperature; illness; excitement; passion.	fièvre	f	Fieber	n	fiebre	f	febbre	f	febre	f	лихорадка	f	حمى	f	बुखार	m
fiber	Thread; filament; dietary fiber; material strand.	fibre	f	Faser	f	fibra	f	fibra	f	fibra	f	волокно	n	ألياف	f	रेशा	f
fiction	Imaginary story; novel; fantasy; made-up tale.	fiction	f	Fiktion	f	ficción	f	finzione	f	ficção	f	художественная литература	f	قصص خيالية	f	कल्पना	f
fidelity	Faithfulness to commitments.	fidélité	f	Treue	f	fidelidad	f	fedeltà	f	fidelidade	f	верность	f	إخلاص	m	वफादारी	f
field	Open land; area of study; sports ground.	champ	m	Feld	n	campo	m	campo	m	campo	m	поле	n	حقل	m	क्षेत्र	m
fifteen	The number fifteen; representing 10 plus 5.	quinze	m	fünfzehn	f	quince	m	quindici	m	quinze	m	пятнадцать	f	خمسة عشر	m	पंद्रह	m
fifteenth	Ordinal number 15th.	quinzième	m	fünfzehnte	m	décimo quinto	m	quindicesimo	m	décimo quinto	m	пятнадцатый	m	الخامس عشر	m	पंद्रहवाँ	m
fifth	Ordinal number 5th.	cinquième	m	fünfte	m	quinto	m	quinto	m	quinto	m	пятый	m	الخامس	m	पाँचवाँ	m
fiftieth	Ordinal number 50th.	cinquantième	m	fünfzigste	m	quincuagésimo	m	cinquantesimo	m	quinquagésimo	m	пятидесятый	m	الخمسون	m	पचासवाँ	m
fifty	The number fifty; five times ten; half of one hundred.	cinquante	m	fünfzig	f	cincuenta	m	cinquanta	m	cinquenta	m	пятьдесят	m	خمسون	m	पचास	m
fig	Sweet soft fruit.	figue	f	Feige	f	higo	m	fico	m	figo	m	инжир	m	تين	m	अंजीर	m
fight	Combat; battle; struggle; conflict.	combat	m	Kampf	m	lucha	f	lotta	f	luta	f	бой	m	قتال	m	लड़ाई	f
fighter	Person who fights.	combattant	m	Kämpfer	m	luchador	m	combattente	m	lutador	m	боец	m	مقاتل	m	योद्धा	m
figure	Number; shape; person; body form.	chiffre	m	Zahl	f	figura	f	figura	f	figura	f	цифра	f	رقم	m	आकृति	f
fill	To make something completely full; to occupy space entirely.	remplissage	m	Füllung	f	relleno	m	riempimento	m	preenchimento	m	заполнение	n	ملء	m	भराई	f
film	Movie; thin layer; photography material.	film	m	Film	m	película	f	film	m	filme	m	фильм	m	فيلم	m	फिल्म	f
finance	Money management; funding; financial affairs.	finance	f	Finanzen	f	finanza	f	finanza	f	finança	f	финансы	m	تمويل	m	वित्त	m
fine	Penalty; fee; high quality; good.	amende	f	Geldstrafe	f	multa	f	multa	f	multa	f	штраф	m	غرامة	f	जुर्माना	m
finger	Hand digit; pointer; accusation; measurement.	doigt	m	Finger	m	dedo	m	dito	m	dedo	m	палец	m	إصبع	m	उंगली	f
finish	Finish; completion; end; conclusion.	fin	f	Ende	n	fin	m	fine	f	fim	m	конец	m	نهاية	f	अंत	m
fir	Evergreen coniferous tree.	sapin	m	Tanne	f	abeto	m	abete	m	abeto	m	ель	f	تنوب	m	देवदार	m
fire	Flame; combustion; passion; dismissal.	feu	m	Feuer	n	fuego	m	fuoco	m	fogo	m	огонь	m	نار	f	आग	f
firework	Explosive device for display.	feu d'artifice	m	Feuerwerk	n	fuegos artificiales	m	fuochi d'artificio	m	fogos de artifício	m	фейерверк	m	ألعاب نارية	f	आतिशबाजी	f
firm	Company; business; solid state; stability.	entreprise	f	Firma	f	empresa	f	ditta	f	empresa	f	фирма	f	شركة	f	फर्म	f
first	Beginning; initial position; earliest; initial.	premier	m	erster	m	primero	m	primo	m	primeiro	m	первый	m	أول	m	पहला	m
fish	Aquatic animal; seafood; person.	poisson	m	Fisch	m	pez	m	pesce	m	peixe	m	рыба	f	سمك	m	मछली	f
fishery	Place for catching fish.	pêcherie	f	Fischerei	f	pesquería	f	pesca	f	pesca	f	рыболовство	n	مصايد الأسماك	f	मत्स्य पालन	m
fishing	Activity of catching fish.	pêche	f	Angeln	n	pesca	f	pesca	f	pesca	f	рыбалка	f	صيد السمك	m	मछली पकड़ना	m
fist	A clenched hand; fingers curled tightly into the palm.	poing	m	Faust	f	puño	m	pugno	m	punho	m	кулак	m	قبضة	f	मुट्ठी	f
fit	Good condition; size match; sudden attack.	forme	f	Passform	f	forma	f	forma	f	forma	f	форма	f	لياقة	f	फिट	m
fitness	Physical condition; health; suitability; exercise.	forme	f	Fitness	f	forma	f	forma	f	forma	f	фитнес	m	لياقة بدنية	f	फिटनेस	m
five	The number five; the digit 5; a quantity of five items.	cinq	m	fünf	f	cinco	m	cinque	m	cinco	m	пять	f	خمسة	m	पांच	m
fix	Fix; repair; solution; position.	réparation	f	Reparatur	f	reparación	f	riparazione	f	conserto	m	ремонт	m	إصلاح	m	मरम्मत	m
flag	Piece of fabric as symbol.	drapeau	m	Flagge	f	bandera	f	bandiera	f	bandeira	f	флаг	m	علم	m	झंडा	m
flair	Natural ability.	talent	m	Flair	n	talento	m	talento	m	talento	m	способность	f	موهبة	f	प्रतिभा	m
flame	Fire; blaze; passion; lover.	flamme	f	Flamme	f	llama	f	fiamma	f	chama	f	пламя	n	لهب	m	लौ	m
flap	Piece attached on one side.	rebat	m	Klappe	f	solapa	f	aletta	f	aba	f	клапан	m	طية	f	पट	m
flare	Sudden burst of flame.	éclat	m	Auflodern	n	destello	m	bagliore	m	labaredas	f	вспышка	f	مضيئة	f	चमक	m
flash	Quick light; sudden burst; brief moment.	éclair	m	Blitz	m	destello	m	lampo	m	flash	m	молния	f	وميض	m	चमक	m
flat	Apartment; level surface; deflated tire.	appartement	m	Wohnung	f	apartamento	m	appartamento	m	apartamento	m	квартира	f	شقة	f	मकान	m
flavor	Taste; essence; variety; character.	saveur	f	Geschmack	m	sabor	m	sapore	m	sabor	m	вкус	m	نكهة	f	स्वाद	m
flavoring	Substance used to give flavor.	arôme	m	Aroma	n	aroma	m	aroma	m	aroma	m	ароматизатор	m	نكهة	f	रस	m
flea	Small jumping insect.	puce	f	Floh	m	pulga	f	pulce	f	pulga	f	блоха	f	برغوث	m	पिस्सू	m
flesh	Meat; body tissue; skin; physical body.	chair	f	Fleisch	n	carne	f	carne	f	carne	f	мясо	n	لحم	m	मांस	m
flextime	Flexible working hours.	horaire flexible	m	Gleitzeit	f	horario flexible	m	orario flessibile	m	horário flexível	m	гибкие часы	m	ساعات مرنة	f	फ्लेक्सटाइम	m
flick	Sudden quick movement.	chiquenaude	f	Schnipsen	n	chasquido	m	schiocco	m	estalo	m	щелчок	m	نقرة	f	झटका	m
flicker	Shine unsteadily.	scintillement	m	Flackern	n	parpadeo	m	sfarfallio	m	cintilação	f	мерцание	n	وميض	m	टिमटिमाहट	m
flight	Flying; airplane trip; escape; stairs.	vol	m	Flug	m	vuelo	m	volo	m	voo	m	полёт	m	طيران	m	उड़ान	m
fling	Throw forcefully.	lancement	m	Wurf	m	lanzamiento	m	lancio	m	arremesso	m	бросок	m	رمية	f	फेंकना	m
flint	Hard gray rock used to make fire; a mineral for ignition.	silex	m	Feuerstein	m	pedernal	m	selce	f	silex	m	кремень	m	صوان	m	आग का पत्थर	m
flock	A group of birds flying or feeding together; a congregation.	troupeau	m	Schwarm	m	bandada	f	stormo	m	bando	m	стая	f	سرب	m	झुंड	m
flood	Overflow of water.	inondation	f	Überschwemmung	f	inundación	f	alluvione	f	enchente	f	наводнение	n	فيضان	m	बाढ़	m
floor	Ground level; bottom; story; minimum.	sol	m	Boden	m	suelo	m	pavimento	m	chão	m	пол	m	أرضية	f	फर्श	m
flop	Fall heavily; failure.	échec	m	Reinfall	m	fracaso	m	fiasco	m	fiasco	m	провал	m	فشل	m	फिस्द्दी	f
flour	Powder made from grain.	farine	f	Mehl	n	harina	f	farina	f	farinha	f	мука	f	دقيق	m	आटा	m
flow	Movement; stream; circulation; progression.	flux	m	Strom	m	flujo	m	flusso	m	fluxo	m	поток	m	تدفق	m	प्रवाह	m
flower	Plant bloom; blossom; decoration.	fleur	f	Blume	f	flor	f	fiore	m	flor	f	цветок	m	زهرة	f	फूल	m
fluid	Substance that flows.	fluide	m	Flüssigkeit	f	flúido	m	fluido	m	flúido	m	жидкость	f	سائل	m	द्रव	m
flurry	Sudden commotion.	rafale	f	Wirbel	m	ragha	f	ragha	f	ráfaga	f	смятение	n	هبة	f	इफरा-तफरी	f
flush	Sudden flow; red coloring.	rougeur	f	Röte	f	rubor	m	arrossire	m	rubor	m	прилив	m	تورد	m	ली	m
flute	Wind musical instrument.	flûte	f	Flöte	f	flauta	f	flauto	m	flauta	f	флейта	f	ناي	m	बांसुरी	f
flutter	Move lightly and quickly.	battement	m	Flattern	n	aleteo	m	battito	m	revolução	f	трепетание	n	رفرفة	f	फड़फड़ाहट	m
flux	Continuous change.	flux	m	Fluss	m	flujo	m	flusso	m	fluxo	m	поток	m	تدفق	m	प्रवाह	m
fly	Winged insect; travel by air.	mouche	f	Fliege	f	mosca	f	mosca	f	mosca	f	муха	f	ذبابة	f	मक्खी	f
focus	Concentration; center; attention; clarity.	concentration	f	Fokus	m	enfoque	m	fuoco	m	foco	m	фокус	m	تركيز	m	फोकस	m
fodder	Food for livestock.	fourrage	m	Futter	n	forraje	m	foraggio	m	forragem	f	корм	m	علف	m	चारा	m
fog	Thick cloud near ground.	brouillard	m	Nebel	m	niebla	f	nebbia	f	névoa	f	туман	m	ضباب	m	कोहरा	m
foil	Thin metal sheet.	feuille	f	Folie	f	lámina	f	lamina	f	folha	f	фольга	f	رقاقة	f	पर्र	m
fold	Bend over part of.	pli	m	Falte	f	pliegue	m	piega	f	dobre	f	складка	f	طية	f	तह	m
folk	People; traditional culture; family; nation.	gens	f	Leute	f	gente	f	gente	f	povo	m	народ	m	ناس	m	लोग	m
folly	Foolish act or behavior.	folie	f	Torheit	f	locura	f	follia	f	loucura	f	глупость	f	حماقة	f	मूर्खता	f
food	Nourishment; edible substance; meal; sustenance.	nourriture	f	Essen	n	comida	f	cibo	m	comida	f	еда	f	طعام	m	भोजन	m
fool	Person lacking judgment.	stupide	m	Dummkopf	m	tonto	m	stupido	m	bobo	m	дурак	m	أحمق	m	मूर्ख	m
foot	Body part; base; bottom; measurement unit.	pied	m	Fuß	m	pie	m	piede	m	pé	m	нога	f	قدم	f	पैर	m
football	Sport played with ball.	football	m	Fußball	m	fútbol	m	calcio	m	futebol	m	футбол	m	كرة قدم	f	फुटबॉल	m
force	Power; strength; military; compulsion.	force	f	Kraft	f	fuerza	f	forza	f	força	f	сила	f	قوة	f	लाल	m
fore	Front part; forward section; front; forward.	avant	m	Vorne	n	delantero	m	davanti	m	frente	f	перед	m	مقدمة	f	आगे	m
forefront	Leading position.	premier plan	m	Vordergrund	m	vanguardia	f	primo piano	m	vanguarda	f	передовая	f	مقدمة	f	अग्रभूमि	f
foreground	Part nearest observer.	premier plan	m	Vordergrund	m	primer plano	m	primo piano	m	primeiro plano	m	передний план	m	مقدمة	f	पीले का दृश्य	m
forehead	Part of face above eyebrows.	front	m	Stirn	f	frente	f	fronte	f	testa	f	лоб	m	جبهة	f	माथा	m
foreigner	Person from another country.	étranger	m	Ausländer	m	extranjero	m	straniero	m	estrangeiro	m	иностранец	m	أجنبي	m	विदेशी	m
foresight	Ability to predict future.	prévoyance	f	Weitsicht	f	previsión	f	preveggenza	f	previsão	f	предвидение	n	بعد نظر	m	दूरदर्शिता	f
forest	Woods; trees; woodland area.	forêt	f	Wald	m	bosque	m	foresta	f	floresta	f	лес	m	غابة	f	वन	m
fork	Pronged utensil for eating.	fourchette	f	Gabel	f	tenedor	m	forchetta	f	garfo	m	вилка	f	شوكة	f	काँटा	m
form	Shape; document; type; structure.	forme	f	Form	f	forma	f	forma	f	forma	f	форма	f	شكل	m	रूप	m
formality	Formal procedure.	formalité	f	Formalität	f	formalidad	f	formalità	f	formalidade	f	формальность	f	رسمية	f	आपचारिकता	f
formation	Creation; arrangement; structure; development.	formation	f	Formation	f	formación	f	formazione	f	formação	f	формирование	n	تشكيل	m	गठन	m
formula	Mathematical relationship.	formule	f	Formel	f	fórmula	f	formula	f	fórmula	f	формула	f	معادلة	f	सूत्र	m
formulation	Action of formulating.	formulation	f	Formulierung	f	formulación	f	formulazione	f	formulação	f	формулировка	f	صياغة	f	निर्माण	m
fort	Fortified building.	fort	m	Fort	n	fuerte	m	forte	m	forte	m	крепость	f	حصن	m	किला	m
forth	Forward direction; onward movement; forward; onward.	avant	m	vorwärts	n	adelante	m	avanti	m	adiante	m	вперёд	m	قدما	m	आगे	m
fortieth	Ordinal number 40th.	quarantième	m	vierzigste	m	cuadragésimo	m	quarantesimo	m	quadragésimo	m	сороковой	m	الأربعون	m	चालीसवाँ	m
fortune	Wealth; luck; fate; destiny.	fortune	f	Vermögen	n	fortuna	f	fortuna	f	fortuna	f	богатство	n	ثروة	f	किस्मत	m
forty	The number forty; four times ten; 4 decades.	quarante	m	vierzig	f	cuarenta	m	quaranta	m	quarenta	m	сорок	m	أربعون	m	चालीस	m
fossil	Remains of ancient organism.	fossile	m	Fossil	n	fósil	m	fossile	m	fóssil	m	окаменелость	f	متحجر	m	जीवाश्म	m
foster	Encourage development of.	adoptif	m	Pflege	f	adoptivo	m	adottivo	m	adotivo	m	приёмный	m	بالتبني	m	पालक	m
foul	Violation; unfair play; offensive; disgusting.	faute	f	Foul	n	falta	f	fallo	m	falta	f	нарушение	n	خرق	m	गलत	m
foundation	Base; basis; organization; establishment.	fondation	f	Stiftung	f	fundación	f	fondazione	f	fundação	f	фонд	m	أساس	m	नींव	m
four	The number four; the digit 4; a quantity of four items.	quatre	m	vier	f	cuatro	m	quattro	m	quatro	m	четыре	m	أربعة	m	चार	m
fourteen	The number fourteen; representing 10 plus 4.	quatorze	m	vierzehn	f	catorce	m	quattordici	m	quatorze	m	четырнадцать	m	أربعة عشر	m	चौदह	m
fourteenth	Ordinal number 14th.	quatorzième	m	vierzehnte	m	décimo cuarto	m	quattordicesimo	m	décimo quarto	m	четырнадцатый	m	الرابع عشر	m	चौदहवाँ	m
fourth	Ordinal number 4th.	quatrième	m	vierte	m	cuarto	m	quarto	m	quarto	m	четвёртый	m	الرابع	m	चौथा	m
fowl	Domesticated bird.	volaille	f	Geflügel	n	ave de corral	f	pollo	m	ave doméstica	f	домашняя птица	f	دجاج	m	पक्षी	m
fox	Carnivorous mammal.	renard	m	Fuchs	m	zorro	m	volpe	f	raposa	f	лиса	f	ثعلب	m	लोमड़ी	f
fraction	Numerical quantity less than whole.	fraction	f	Bruch	m	fracción	f	frazione	f	fração	f	дробь	f	كسر	m	भिन्न	m
fracture	A crack or break; damage causing separation in material.	fracture	f	Bruch	m	fractura	f	frattura	f	fratura	f	перелом	m	كسر	m	हड्डी टूटना	m
frame	Border; structure; body build; picture edge.	cadre	m	Rahmen	m	marco	m	cornice	f	moldura	f	рама	f	إطار	m	चौखटा	m
franchise	Right to vote; business license.	franchise	f	Franchise	f	franquicia	f	franchise	f	franquia	f	франшиза	f	امتياز	m	मताधिकार	m
frank	Honest person; candid individual; honest; direct; candid.	franc	m	aufrichtig	m	franco	m	franco	m	franco	m	откровенный	m	صريح	m	सादा	m
fraternity	Brotherhood; male student society.	confrérie	f	Bruderschaft	f	fraternidad	f	confraternita	f	fraternidade	f	братство	n	أخوة	f	भाईचारा	m
fraud	Wrongful deception for gain.	fraude	f	Betrug	m	fraude	m	frode	f	fraude	f	мошенничество	n	احتيال	m	धोखाधड़ी	f
fray	Unravel at edge.	éffilochage	m	Ausfransen	n	deshilachado	m	sfilacciatura	f	desfiar	m	обрыв	m	تآكل	m	फटना	m
freak	Very unusual person or thing.	monstre	m	Freak	m	monstruo	m	mostro	m	monstro	m	урод	m	شاذ	m	विक्षिप्त	m
freebie	Thing given free of charge.	cadeau	m	Gratis	n	regalo gratuito	m	omaggio	m	brinde	m	бесплатный подарок	m	مجانا	m	मुफ्त उपहार	m
freedom	Liberty; independence; free state; right.	liberté	f	Freiheit	f	libertad	f	libertà	f	liberdade	f	свобода	f	حرية	f	स्वतंत्रता	f
freeze	Freezing; ice formation; cold state.	gel	m	Frost	m	congelación	f	congelamento	m	congelamento	m	замерзание	n	تجميد	m	जमाव	m
freight	Goods transported by truck or ship.	fret	m	Fracht	f	carga	f	nolo	m	carga	f	груз	m	شحن	m	माल भाड़ा	m
french	Language of France.	français	m	Französisch	n	francés	m	francese	m	francês	m	французский	m	فرنسي	m	फ्रेंच	m
frequency	Rate; how often; radio band; occurrence.	fréquence	f	Häufigkeit	f	frecuencia	f	frequenza	f	frequência	f	частота	f	تردد	m	आवृत्ति	f
fret	Be constantly worried.	inquiétude	f	Sorge	f	preocupación	f	preoccupazione	f	preocupação	f	беспокойство	n	قلق	m	चिंता	f
friday	Sixth day of week.																
friend	Friend; companion; ally; buddy.																
friendship	Companionship; bond; relationship; amity.																
fright	Sudden intense fear.																
frill	Decorative edging.																
front	Forward part; beginning; facade; battle line.																
fruit	Plant product; edible seed container; result.																
fuel	Energy source; gas; power material; motivation.																
fun	Enjoyment; amusement; pleasure; entertainment.																
fund	Money pool; investment; financial resource.																
funeral	Burial ceremony; memorial service; death rite.																
future	Future; time ahead; tomorrow; prospect.																
gain	Profit; increase; benefit; advantage.																
game	Sport; play; competition; hunting.																
garage	Car shelter; repair shop; storage building.																
garden	Yard; cultivated area; park; botanical space.																
gas	Fuel; vapor; gasoline; air state.																
gate	Entrance; barrier; airport terminal; opening.																
gear	Equipment; machinery part; clothing; stuff.																
gender	Sex; male or female; grammatical category.																
generation	Age group; production; creation; offspring.																
gift	Present; talent; donation; offering.																
girl	Female child; young woman; daughter.																
glass	Transparent material; drinking vessel; mirror.																
goal	Objective; target; score; purpose.																
god	Deity; supreme being; divine entity.																
gold	Precious metal; wealth; yellow color; medal.																
golf	Sport; game played with clubs and ball.																
government	Ruling body; administration; state; authority.																
grade	Level; quality; school year; slope.																
grandfather	Male grandparent; old man; ancestor.																
grandmother	Female grandparent; old woman; ancestor.																
grant	Funding; award; permission; gift.																
grass	Lawn; vegetation; pasture; marijuana.																
ground	Earth; soil; base; reason.																
group	Collection; team; category; assembly.																
growth	Increase; development; expansion; tumor.																
guard	Protector; security; defense; watch.																
guess	Estimate; supposition; conjecture; hunch.																
guest	Visitor; customer; invitee; lodger.																
guide	Leader; manual; handbook; director.																
guilt	Responsibility for wrongdoing; shame; remorse.																
habit	Custom; routine; addiction; clothing.																
hair	Head covering; strand; fiber; fur.																
half	Fifty percent; part; portion; middle.																
hall	Corridor; large room; building; entrance.																
hand	Body part; help; worker; pointer.																
handle	Grip; knob; name; management.																
happiness	Joy; contentment; pleasure; bliss.																
harm	Damage; injury; hurt; detriment.																
hat	Head covering; cap; headwear; role.																
hate	Intense dislike; loathing; animosity; hatred.																
head	Skull; leader; top; mind.																
health	Health; wellness; fitness; condition.																
hearing	Sense; legal proceeding; listening; audition.																
heart	Organ; emotion center; core; courage.																
heat	Warmth; temperature; passion; pressure.																
heaven	Paradise; sky; divine realm; bliss.																
height	Tallness; elevation; peak; stature.																
hell	Underworld; torment; damnation; ordeal.																
help	Assistance; aid; support; relief.																
hero	Brave person; champion; protagonist; idol.																
hill	Elevated land; mound; slope; incline.																
hint	Clue; suggestion; indication; tip.																
history	History; past events; record; chronicle.																
hobby	Pastime; interest; recreation; pursuit.																
hold	Grip; grasp; cargo space; to grasp; contain.																
hole	Opening; gap; cavity; golf target.																
holiday	Vacation; celebration; break; festival.																
home	Home; house; residence; place.																
honey	Bee product; sweetener; darling; beloved.																
honor	Respect; dignity; award; integrity.																
hope	Expectation; optimism; wish; prospect.																
horror	Terror; fear; dread; frightening thing.																
horse	Animal; steed; mount; cavalry.																
hospital	Medical facility; clinic; infirmary; health center.																
host	Presenter; entertainer; organism carrying parasite; computer server.																
hotel	Accommodation; lodging; inn; guest house.																
hour	Hour; sixty minutes; time period.																
house	House; dwelling; home; building.																
housing	Accommodation; shelter; covering; homes.																
human	Person; individual; mankind; homo sapiens.																
humor	Comedy; wit; mood; amusement.																
hunger	Appetite; starvation; craving; need.																
hunt	Chase; pursuit; search; tracking.																
hurt	Pain; injury; harm; damage.																
husband	Married man; spouse; partner; mate.																
ice	Frozen water; coldness; jewelry; methamphetamine.																
idea	Thought; concept; notion; plan.																
identity	Who someone is; character; identification; selfhood.																
ideology	Belief system; doctrine; philosophy; principles.																
illness	Sickness; disease; ailment; malady.																
imagination	Creativity; fantasy; mental pictures; invention.																
impact	Effect; influence; collision; force.																
implication	Consequence; suggestion; involvement; meaning.																
import	Bringing in; significance; foreign goods; meaning.																
importance	Significance; value; priority; weight.																
impression	Feeling; effect; mark; opinion.																
improvement	Enhancement; betterment; progress; upgrade.																
inch	Measurement; small distance; 2.54 centimeters; bit.																
income	Earnings; salary; revenue; profit.																
increase	Growth; rise; expansion; addition.																
independence	Freedom; self-rule; autonomy; liberation.																
indication	Sign; signal; suggestion; evidence.																
individual	Person; single; separate; unique.																
industry	Manufacturing; business; sector; commerce.																
infection	Contamination; disease; spreading illness; virus.																
inflation	Price increase; expansion; swelling; growth.																
influence	Effect; power; impact; sway.																
information	Data; knowledge; details; facts.																
initiative	Leadership; first step; proposal; drive.																
injury	Harm; wound; damage; hurt.																
innovation	Invention; new idea; change; creativity.																
inquiry	Investigation; question; research; examination.																
insect	Bug; small creature; arthropod; pest.																
inspiration	Motivation; creativity; influence; idea.																
installation	Setting up; equipment; facility; mounting.																
instance	Example; case; occurrence; situation.																
institution	Organization; establishment; custom; practice.																
instruction	Teaching; direction; order; guidance.																
insurance	Protection; coverage; security; guarantee.																
intelligence	Smartness; information; mental ability; wisdom.																
intention	Purpose; plan; aim; goal.																
interest	Curiosity; hobby; money charge; concern.																
interior	Inside; inner part; domestic; internal.																
interpretation	Explanation; translation; understanding; analysis.																
interview	Meeting; questioning; job talk; conversation.																
introduction	Beginning; presentation; first meeting; opening.																
invasion	Attack; intrusion; occupation; encroachment.																
investment	Funding; money put in; expenditure; commitment.																
invitation	Request to come; asking; call; summons.																
involvement	Participation; engagement; inclusion; entanglement.																
iron	Metal; appliance; strength; tool.																
island	Land surrounded by water; isolation; refuge.																
issue	Problem; topic; publication; matter.																
italy	A European country on the Italian Peninsula; known for art and culture.																
itch	Uncomfortable skin sensation causing desire to scratch.																
ivory	Hard white material from elephant tusks; creamy white color.																
ivy	Ivy League universities; climbing evergreen plant with dark leaves.																
jack	A lifting device; a playing card; a common male name.																
jacket	Coat; outer garment; cover; casing.																
jail	Prison; detention; confinement; lock-up.																
jam	A sweet spread made from fruit and sugar.																
january	The first month of the year in the Gregorian calendar, having 31 days.																
japan	Island country in East Asia; known for technology and culture.																
japanese	A person from Japan; the language spoken in Japan.																
jar	A wide-mouthed glass container for storing food.																
jaw	Either bone in the face that holds teeth; the mouth.																
jazz	Music style; improvisation; American music; rhythm.																
jealousy	Resentment against someone due to their success or advantages.																
jeans	Casual trousers made of denim fabric, blue.																
